csv_line,case_num,modality,reference,status,resolved_path,decode_error
2,1,derm,NEL/Nel026.jpg,exact,NEL/Nel026.jpg,
2,1,clinic,NEL/NEL025.JPG,exact,NEL/NEL025.JPG,
3,2,derm,NEL/Nel028.jpg,exact,NEL/Nel028.jpg,
3,2,clinic,NEL/NEL027.JPG,exact,NEL/NEL027.JPG,
4,3,derm,NEL/Nel033.jpg,exact,NEL/Nel033.jpg,
4,3,clinic,NEL/Nel032.jpg,exact,NEL/Nel032.jpg,
5,4,derm,NEL/Nel035.jpg,exact,NEL/Nel035.jpg,
5,4,clinic,NEL/NEL034.JPG,exact,NEL/NEL034.JPG,
6,5,derm,NEL/Nel037.jpg,exact,NEL/Nel037.jpg,
6,5,clinic,NEL/NEL036.JPG,exact,NEL/NEL036.JPG,
7,6,derm,NEL/Nel039.jpg,exact,NEL/Nel039.jpg,
7,6,clinic,NEL/Nel038.jpg,exact,NEL/Nel038.jpg,
8,7,derm,NEL/Nel041.jpg,exact,NEL/Nel041.jpg,
8,7,clinic,NEL/Nel040.jpg,exact,NEL/Nel040.jpg,
9,8,derm,NEL/Nel085.jpg,exact,NEL/Nel085.jpg,
9,8,clinic,NEL/Nel084.jpg,exact,NEL/Nel084.jpg,
10,9,derm,NEL/Nel087.jpg,exact,NEL/Nel087.jpg,
10,9,clinic,NEL/Nel086.jpg,exact,NEL/Nel086.jpg,
11,10,derm,NEL/Nel089.jpg,exact,NEL/Nel089.jpg,
11,10,clinic,NEL/NEL088.JPG,exact,NEL/NEL088.JPG,
12,11,derm,NEL/Nel091.jpg,exact,NEL/Nel091.jpg,
12,11,clinic,NEL/NEL090.JPG,exact,NEL/NEL090.JPG,
13,12,derm,NEL/Nel092.jpg,exact,NEL/Nel092.jpg,
13,12,clinic,NEL/NEL093.JPG,exact,NEL/NEL093.JPG,
14,13,derm,NEL/Nel095.jpg,exact,NEL/Nel095.jpg,
14,13,clinic,NEL/Nel094.jpg,exact,NEL/Nel094.jpg,
15,14,derm,NEL/Nel097.jpg,exact,NEL/Nel097.jpg,
15,14,clinic,NEL/NEL096.JPG,exact,NEL/NEL096.JPG,
16,15,derm,NEL/Nel098.jpg,exact,NEL/Nel098.jpg,
16,15,clinic,NEL/NEL099.JPG,exact,NEL/NEL099.JPG,
17,16,derm,NEL/Nel100.jpg,exact,NEL/Nel100.jpg,
17,16,clinic,NEL/Nel101.jpg,exact,NEL/Nel101.jpg,
18,17,derm,NFL/Nfl068.jpg,exact,NFL/Nfl068.jpg,
18,17,clinic,NFL/Nfl067.jpg,exact,NFL/Nfl067.jpg,
19,18,derm,NGL/Ngl047.jpg,exact,NGL/Ngl047.jpg,
19,18,clinic,NGL/NGL046.JPG,exact,NGL/NGL046.JPG,
20,19,derm,NHL/Nhl011.jpg,exact,NHL/Nhl011.jpg,
20,19,clinic,NHL/Nhl010.jpg,exact,NHL/Nhl010.jpg,
21,20,derm,NML/Nml098.jpg,exact,NML/Nml098.jpg,
21,20,clinic,NML/NML097.JPG,exact,NML/NML097.JPG,
22,21,derm,NML/Nml102.jpg,exact,NML/Nml102.jpg,
22,21,clinic,NML/Nml101.jpg,exact,NML/Nml101.jpg,
23,22,derm,NML/Nml104.jpg,exact,NML/Nml104.jpg,
23,22,clinic,NML/Nml103.jpg,exact,NML/Nml103.jpg,
24,23,derm,NML/Nml106.jpg,exact,NML/Nml106.jpg,
24,23,clinic,NML/Nml105.jpg,exact,NML/Nml105.jpg,
25,24,derm,Adl/Adl379.jpg,exact,Adl/Adl379.jpg,
25,24,clinic,Adl/Adl378.jpg,exact,Adl/Adl378.jpg,
26,25,derm,Ael/Ael455.jpg,exact,Ael/Ael455.jpg,
26,25,clinic,Ael/Ael454.jpg,exact,Ael/Ael454.jpg,
27,26,derm,Ael/Ael469.jpg,exact,Ael/Ael469.jpg,
27,26,clinic,Ael/Ael468.jpg,exact,Ael/Ael468.jpg,
28,27,derm,Ael/Ael502.jpg,exact,Ael/Ael502.jpg,
28,27,clinic,Ael/Ael501.jpg,exact,Ael/Ael501.jpg,
29,28,derm,Ael/Ael505.jpg,exact,Ael/Ael505.jpg,
29,28,clinic,Ael/Ael505bis.jpg,exact,Ael/Ael505bis.jpg,
30,29,derm,Gzl/gzl02.jpg,exact,Gzl/gzl02.jpg,
30,29,clinic,Gzl/gzl01.jpg,exact,Gzl/gzl01.jpg,
31,30,derm,Gzl/gzl06.jpg,exact,Gzl/gzl06.jpg,
31,30,clinic,Gzl/gzl05.jpg,exact,Gzl/gzl05.jpg,
32,31,derm,Gzl/gzl38.jpg,exact,Gzl/gzl38.jpg,
32,31,clinic,Gzl/gzl37.jpg,exact,Gzl/gzl37.jpg,
33,32,derm,Gal/Gal098.jpg,exact,Gal/Gal098.jpg,
33,32,clinic,Gal/Gal097.jpg,exact,Gal/Gal097.jpg,
34,33,derm,FAL/Fal096.jpg,exact,FAL/Fal096.jpg,
34,33,clinic,FAL/Fal095.jpg,exact,FAL/Fal095.jpg,
35,34,derm,FCL/Fcl062.jpg,exact,FCL/Fcl062.jpg,
35,34,clinic,FCL/Fcl061.jpg,exact,FCL/Fcl061.jpg,
36,35,derm,FDL/Fdl070.jpg,exact,FDL/Fdl070.jpg,
36,35,clinic,FDL/Fdl069.jpg,exact,FDL/Fdl069.jpg,
37,36,derm,Ggl/Ggl028.jpg,exact,Ggl/Ggl028.jpg,
37,36,clinic,Ggl/Ggl027.jpg,exact,Ggl/Ggl027.jpg,
38,37,derm,Ggl/Ggl030.jpg,exact,Ggl/Ggl030.jpg,
38,37,clinic,Ggl/Ggl029.jpg,exact,Ggl/Ggl029.jpg,
39,38,derm,Ggl/Ggl082.jpg,exact,Ggl/Ggl082.jpg,
39,38,clinic,Ggl/Ggl081.jpg,exact,Ggl/Ggl081.jpg,
40,39,derm,Fgl/Fgl088.jpg,exact,Fgl/Fgl088.jpg,
40,39,clinic,Fgl/Fgl080.jpg,exact,Fgl/Fgl080.jpg,
41,40,derm,Fgl/Fgl053.jpg,exact,Fgl/Fgl053.jpg,
41,40,clinic,Fgl/Fgl052.jpg,exact,Fgl/Fgl052.jpg,
42,41,derm,Fhl/Fhl050.jpg,exact,Fhl/Fhl050.jpg,
42,41,clinic,Fhl/Fhl049.jpg,exact,Fhl/Fhl049.jpg,
43,42,derm,Fhl/Fhl052.jpg,exact,Fhl/Fhl052.jpg,
43,42,clinic,Fhl/Fhl051.jpg,exact,Fhl/Fhl051.jpg,
44,43,derm,NFL/Nfl040.jpg,exact,NFL/Nfl040.jpg,
44,43,clinic,NFL/Nfl039.jpg,exact,NFL/Nfl039.jpg,
45,44,derm,NFL/Nfl046.jpg,exact,NFL/Nfl046.jpg,
45,44,clinic,NFL/Nfl045.jpg,exact,NFL/Nfl045.jpg,
46,45,derm,NFL/Nfl048.jpg,exact,NFL/Nfl048.jpg,
46,45,clinic,NFL/Nfl047.jpg,exact,NFL/Nfl047.jpg,
47,46,derm,NFL/Nfl050.jpg,exact,NFL/Nfl050.jpg,
47,46,clinic,NFL/Nfl049.jpg,exact,NFL/Nfl049.jpg,
48,47,derm,NGL/Ngl072.jpg,exact,NGL/Ngl072.jpg,
48,47,clinic,NGL/Ngl071.jpg,exact,NGL/Ngl071.jpg,
49,48,derm,NGL/Ngl090.jpg,exact,NGL/Ngl090.jpg,
49,48,clinic,NGL/Ngl089.jpg,exact,NGL/Ngl089.jpg,
