model_type,policy,oracle_non_deployable,repetition,query_budget,total,positive,negative,auroc,macro_f1,accuracy,sensitivity,specificity,brier,ece,tp,tn,fp,fn,threshold,query_precision,mean_errors_corrected,mean_concepts_queried,diagnosis_change_rate,diagnosis_improvement_rate,diagnosis_harm_rate,queries,errors_corrected,originally_wrong,originally_right,diagnoses_improved,diagnoses_harmed
soft,random_error_oracle,1,0,0,658,198,460,0.8635375494071147,0.772002772002772,0.8206686930091185,0.5959595959595959,0.9173913043478261,0.12792545989565157,0.02485381406775575,118,422,38,80,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,118,540,0,0
soft,random_error_oracle,1,0,1,658,198,460,0.8707290294246816,0.7514125242416865,0.7948328267477204,0.6262626262626263,0.8673913043478261,0.12888485449099493,0.06897902109307916,124,399,61,74,0.5,1.0,0.7112462006079028,0.7112462006079028,0.12613981762917933,0.2796610169491525,0.09259259259259259,468,468,118,540,33,50
soft,random_error_oracle,1,0,2,658,198,460,0.880687307861221,0.7500870390884633,0.7811550151975684,0.7121212121212122,0.8108695652173913,0.1325610454324224,0.07297859545867537,141,373,87,57,0.5,1.0,1.1443768996960486,1.1443768996960486,0.20972644376899696,0.4745762711864407,0.15185185185185185,753,753,118,540,56,82
soft,random_error_oracle,1,0,3,658,198,460,0.8883399209486166,0.761000415110004,0.7872340425531915,0.7575757575757576,0.8,0.1309258895534537,0.09289979631435696,150,368,92,48,0.5,1.0,1.3632218844984803,1.3632218844984803,0.2553191489361702,0.6186440677966102,0.17592592592592593,897,897,118,540,73,95
soft,random_error_oracle,1,0,4,658,198,460,0.8888779095300834,0.7586680717414662,0.78419452887538,0.7626262626262627,0.7934782608695652,0.1310560585636817,0.08645563050057668,151,365,95,47,0.5,1.0,1.4437689969604863,1.4437689969604863,0.26443768996960487,0.635593220338983,0.18333333333333332,950,950,118,540,75,99
soft,random_error_oracle,1,0,5,658,198,460,0.8879336846728151,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13184232167352294,0.08991362852533705,150,363,97,48,0.5,1.0,1.4635258358662615,1.4635258358662615,0.2689969604863222,0.635593220338983,0.18888888888888888,963,963,118,540,75,102
soft,random_error_oracle,1,0,6,658,198,460,0.8867808519982433,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.132435131912625,0.08996799949141948,150,363,97,48,0.5,1.0,1.4680851063829787,1.4680851063829787,0.2689969604863222,0.635593220338983,0.18888888888888888,966,966,118,540,75,102
soft,random_error_oracle,1,0,7,658,198,460,0.886528326745718,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13258977388471305,0.09029093052665495,150,363,97,48,0.5,1.0,1.4696048632218845,1.4696048632218845,0.2689969604863222,0.635593220338983,0.18888888888888888,967,967,118,540,75,102
soft,random_error_oracle,1,1,0,658,198,460,0.8635375494071147,0.772002772002772,0.8206686930091185,0.5959595959595959,0.9173913043478261,0.12792545989565157,0.02485381406775575,118,422,38,80,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,118,540,0,0
soft,random_error_oracle,1,1,1,658,198,460,0.8826526130873957,0.7689472592797401,0.8069908814589666,0.6666666666666666,0.8673913043478261,0.12485282610912066,0.054225843784975046,132,399,61,66,0.5,1.0,0.7112462006079028,0.7112462006079028,0.13221884498480244,0.3305084745762712,0.08888888888888889,468,468,118,540,39,48
soft,random_error_oracle,1,1,2,658,198,460,0.8760430390865174,0.7382581275701193,0.770516717325228,0.696969696969697,0.8021739130434783,0.1352342659447081,0.08476688904858837,138,369,91,60,0.5,1.0,1.1443768996960486,1.1443768996960486,0.22036474164133737,0.4745762711864407,0.1648148148148148,753,753,118,540,56,89
soft,random_error_oracle,1,1,3,658,198,460,0.8883069828722002,0.7595646258503401,0.7857142857142857,0.7575757575757576,0.7978260869565217,0.1310726838946341,0.09250836014633333,150,367,93,48,0.5,1.0,1.3632218844984803,1.3632218844984803,0.256838905775076,0.6186440677966102,0.17777777777777778,897,897,118,540,73,96
soft,random_error_oracle,1,1,4,658,198,460,0.8882520860781731,0.7586680717414662,0.78419452887538,0.7626262626262627,0.7934782608695652,0.1315856504767889,0.08858689023943674,151,365,95,47,0.5,1.0,1.4437689969604863,1.4437689969604863,0.26443768996960487,0.635593220338983,0.18333333333333332,950,950,118,540,75,99
soft,random_error_oracle,1,1,5,658,198,460,0.8880434782608695,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13180157138744966,0.09191479296062924,150,363,97,48,0.5,1.0,1.4635258358662615,1.4635258358662615,0.2689969604863222,0.635593220338983,0.18888888888888888,963,963,118,540,75,102
soft,random_error_oracle,1,1,6,658,198,460,0.8870772946859902,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13230404408262497,0.08989135458020613,150,363,97,48,0.5,1.0,1.4680851063829787,1.4680851063829787,0.2689969604863222,0.635593220338983,0.18888888888888888,966,966,118,540,75,102
soft,random_error_oracle,1,1,7,658,198,460,0.886528326745718,0.7538409938208697,0.7796352583586627,0.7575757575757576,0.7891304347826087,0.13258977388471305,0.09029093052665495,150,363,97,48,0.5,1.0,1.4696048632218845,1.4696048632218845,0.2689969604863222,0.635593220338983,0.18888888888888888,967,967,118,540,75,102
soft,random_error_oracle,1,2,0,658,198,460,0.8635375494071147,0.772002772002772,0.8206686930091185,0.5959595959595959,0.9173913043478261,0.12792545989565157,0.02485381406775575,118,422,38,80,0.5,,0.0,0.0,0.0,0.0,0.0,0,0,118,540,0,0
soft,random_error_oracle,1,2,1,658,198,460,0.877755819060167,0.7579819938515591,0.7963525835866262,0.6616161616161617,0.8543478260869565,0.12822388835834964,0.058920019851692096,131,393,67,67,0.5,1.0,0.7112462006079028,0.7112462006079028,0.13677811550151975,0.3135593220338983,0.09814814814814815,468,468,118,540,37,53
soft,random_error_oracle,1,2,2,658,198,460,0.8769982433025912,0.7451916871046856,0.776595744680851,0.7070707070707071,0.8065217391304348,0.13481793546437523,0.0798423790640149,140,371,89,58,0.5,1.0,1.1443768996960486,1.1443768996960486,0.22340425531914893,0.5,0.16296296296296298,753,753,118,540,59,88
