case_num,model_type,policy,oracle_non_deployable,repetition,concept_indices_in_query_order
100,hard,random_error_oracle,1,0,"[5,1]"
1011,hard,random_error_oracle,1,0,"[2,5]"
102,hard,random_error_oracle,1,0,[2]
103,hard,random_error_oracle,1,0,[1]
104,hard,random_error_oracle,1,0,[4]
105,hard,random_error_oracle,1,0,"[0,6,2]"
106,hard,random_error_oracle,1,0,"[5,2]"
107,hard,random_error_oracle,1,0,"[3,4,5]"
109,hard,random_error_oracle,1,0,[]
110,hard,random_error_oracle,1,0,[]
111,hard,random_error_oracle,1,0,[]
112,hard,random_error_oracle,1,0,[]
115,hard,random_error_oracle,1,0,[]
116,hard,random_error_oracle,1,0,[]
117,hard,random_error_oracle,1,0,[]
118,hard,random_error_oracle,1,0,[1]
119,hard,random_error_oracle,1,0,[]
122,hard,random_error_oracle,1,0,"[6,5]"
123,hard,random_error_oracle,1,0,"[0,6]"
124,hard,random_error_oracle,1,0,"[5,6]"
125,hard,random_error_oracle,1,0,"[6,5,1,0]"
126,hard,random_error_oracle,1,0,"[4,5]"
128,hard,random_error_oracle,1,0,[]
129,hard,random_error_oracle,1,0,"[6,5,0]"
130,hard,random_error_oracle,1,0,"[5,0,6]"
131,hard,random_error_oracle,1,0,[1]
133,hard,random_error_oracle,1,0,"[0,5,6,1]"
135,hard,random_error_oracle,1,0,[5]
136,hard,random_error_oracle,1,0,"[1,0,5]"
137,hard,random_error_oracle,1,0,[0]
138,hard,random_error_oracle,1,0,"[1,5]"
139,hard,random_error_oracle,1,0,"[6,2]"
141,hard,random_error_oracle,1,0,"[1,6]"
142,hard,random_error_oracle,1,0,"[1,6]"
143,hard,random_error_oracle,1,0,"[5,1]"
144,hard,random_error_oracle,1,0,[5]
145,hard,random_error_oracle,1,0,[]
146,hard,random_error_oracle,1,0,[]
148,hard,random_error_oracle,1,0,[2]
149,hard,random_error_oracle,1,0,[]
150,hard,random_error_oracle,1,0,[]
151,hard,random_error_oracle,1,0,[]
153,hard,random_error_oracle,1,0,[]
154,hard,random_error_oracle,1,0,[]
155,hard,random_error_oracle,1,0,[1]
156,hard,random_error_oracle,1,0,[2]
157,hard,random_error_oracle,1,0,[]
159,hard,random_error_oracle,1,0,[]
160,hard,random_error_oracle,1,0,[6]
