model_type,policy,oracle_non_deployable,query_budget,repetitions,auroc_mean,auroc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,brier_mean,brier_sd,ece_mean,ece_sd,query_precision_mean,query_precision_sd,mean_errors_corrected_mean,mean_errors_corrected_sd,mean_concepts_queried_mean,mean_concepts_queried_sd,diagnosis_change_rate_mean,diagnosis_change_rate_sd,diagnosis_improvement_rate_mean,diagnosis_improvement_rate_sd,diagnosis_harm_rate_mean,diagnosis_harm_rate_sd
soft,random_error_oracle,1,0,100,0.8635375494071146,1.1158161231197418e-16,0.7720027720027721,1.1158161231197418e-16,0.8206686930091185,0.0,0.595959595959596,1.1158161231197418e-16,0.9173913043478262,1.1158161231197418e-16,0.1279254598956516,2.7895403077993544e-17,0.024853814067755747,3.486925384749193e-18,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft,random_error_oracle,1,1,100,0.8733447518664907,0.006140311567991666,0.7617085154539659,0.008194540605060323,0.8018844984802433,0.006822323562970737,0.6503030303030303,0.015810907579903694,0.8671304347826085,0.007608099606492411,0.12924577636858042,0.00283302093734699,0.05634942187837862,0.0057783458310733836,1.0,0.0,0.7112462006079028,0.0,0.7112462006079028,0.0,0.12978723404255318,0.008399383339911944,0.3094915254237288,0.030459928276241662,0.09051851851851853,0.0065289003473694785
soft,random_error_oracle,1,2,100,0.8807580149319282,0.0051165902290767175,0.7470726054954734,0.007949299602598924,0.7786018237082069,0.006878041390799178,0.7072222222222224,0.01553696364826946,0.8093260869565216,0.006764582816698033,0.13251992232684084,0.002659999969514638,0.08085846877216722,0.005898306493379771,1.0,0.0,1.1443768996960488,2.2316322462394835e-16,1.1443768996960488,2.2316322462394835e-16,0.21835866261398176,0.0068372169478431565,0.49152542372881364,0.02444916329822682,0.15866666666666668,0.006425146659436407
soft,random_error_oracle,1,3,100,0.8868258673693455,0.0028543506870354523,0.7577701022477892,0.0039006053046716513,0.7844680851063829,0.0036040476326637786,0.7518686868686869,0.007378655555828656,0.7985,0.004300300195609033,0.13170439561176192,0.0016111603279827533,0.0881022354261339,0.003738107366318046,1.0,0.0,1.3632218844984803,0.0,1.3632218844984803,0.0,0.254468085106383,0.0038174328369129196,0.6085593220338983,0.011844518268026141,0.17709259259259258,0.003709824721248694
soft,random_error_oracle,1,4,100,0.8885693895476503,0.001411907148511623,0.7575299067493029,0.0017386719802743097,0.7831003039513678,0.0016603198120953887,0.7616161616161615,0.0030455691371491247,0.7923478260869564,0.0021065541557494624,0.1312818196130926,0.0008074137824116643,0.08756922428225308,0.0018454858527019516,1.0,0.0,1.443768996960487,6.694896738718451e-16,1.443768996960487,6.694896738718451e-16,0.265531914893617,0.0016603198120953735,0.6355932203389829,1.1158161231197418e-16,0.18466666666666667,0.002023130437701404
soft,random_error_oracle,1,5,100,0.8873420070267897,0.0008138799382219321,0.7538409938208698,1.1158161231197418e-16,0.7796352583586628,1.1158161231197418e-16,0.7575757575757573,2.2316322462394835e-16,0.7891304347826085,2.2316322462394835e-16,0.13209552069879751,0.00036576718281868133,0.09058341922027469,0.0009702345433879883,1.0,0.0,1.463525835866261,4.463264492478967e-16,1.463525835866261,4.463264492478967e-16,0.2689969604863222,0.0,0.6355932203389829,1.1158161231197418e-16,0.18888888888888894,5.579080615598709e-17
soft,random_error_oracle,1,6,100,0.8867283706631531,0.0002627159300716641,0.7538409938208698,1.1158161231197418e-16,0.7796352583586628,1.1158161231197418e-16,0.7575757575757573,2.2316322462394835e-16,0.7891304347826085,2.2316322462394835e-16,0.13248544446375715,0.00014672886010203955,0.09010325900062863,0.00019683712512340255,1.0,0.0,1.4680851063829785,2.2316322462394835e-16,1.4680851063829785,2.2316322462394835e-16,0.2689969604863222,0.0,0.6355932203389829,1.1158161231197418e-16,0.18888888888888894,5.579080615598709e-17
soft,random_error_oracle,1,7,100,0.8865283267457181,1.1158161231197418e-16,0.7538409938208698,1.1158161231197418e-16,0.7796352583586628,1.1158161231197418e-16,0.7575757575757573,2.2316322462394835e-16,0.7891304347826085,2.2316322462394835e-16,0.13258977388471307,2.7895403077993544e-17,0.09029093052665493,1.3947701538996772e-17,1.0,0.0,1.469604863221885,4.463264492478967e-16,1.469604863221885,4.463264492478967e-16,0.2689969604863222,0.0,0.6355932203389829,1.1158161231197418e-16,0.18888888888888894,5.579080615598709e-17
soft,confidently_wrong_oracle,1,0,1,0.8635375494071147,0.0,0.772002772002772,0.0,0.8206686930091185,0.0,0.5959595959595959,0.0,0.9173913043478261,0.0,0.12792545989565157,0.0,0.02485381406775575,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft,confidently_wrong_oracle,1,1,1,0.8619126043039086,0.0,0.7521724890829695,0.0,0.790273556231003,0.0,0.6616161616161617,0.0,0.8456521739130435,0.0,0.13593984688565694,0.0,0.05754477012897509,0.0,1.0,0.0,0.7112462006079028,0.0,0.7112462006079028,0.0,0.1519756838905775,0.0,0.3389830508474576,0.0,0.1111111111111111,0.0
