case_num,model_type,policy,oracle_non_deployable,repetition,concept_indices_in_query_order
100,soft,random_error_oracle,1,0,"[5,1]"
1011,soft,random_error_oracle,1,0,"[2,5]"
102,soft,random_error_oracle,1,0,[2]
103,soft,random_error_oracle,1,0,[1]
104,soft,random_error_oracle,1,0,[4]
105,soft,random_error_oracle,1,0,"[0,6,2]"
106,soft,random_error_oracle,1,0,"[5,2]"
107,soft,random_error_oracle,1,0,"[3,4,5]"
109,soft,random_error_oracle,1,0,[]
110,soft,random_error_oracle,1,0,[]
111,soft,random_error_oracle,1,0,[]
112,soft,random_error_oracle,1,0,[]
115,soft,random_error_oracle,1,0,[]
116,soft,random_error_oracle,1,0,[]
117,soft,random_error_oracle,1,0,[]
118,soft,random_error_oracle,1,0,[1]
119,soft,random_error_oracle,1,0,[]
122,soft,random_error_oracle,1,0,"[6,5]"
123,soft,random_error_oracle,1,0,"[0,6]"
124,soft,random_error_oracle,1,0,"[5,6]"
125,soft,random_error_oracle,1,0,"[6,5,1,0]"
126,soft,random_error_oracle,1,0,"[4,5]"
128,soft,random_error_oracle,1,0,[]
129,soft,random_error_oracle,1,0,"[6,5,0]"
130,soft,random_error_oracle,1,0,"[5,0,6]"
131,soft,random_error_oracle,1,0,[1]
133,soft,random_error_oracle,1,0,"[0,5,6,1]"
135,soft,random_error_oracle,1,0,[5]
136,soft,random_error_oracle,1,0,"[1,0,5]"
137,soft,random_error_oracle,1,0,[0]
138,soft,random_error_oracle,1,0,"[1,5]"
139,soft,random_error_oracle,1,0,"[6,2]"
141,soft,random_error_oracle,1,0,"[1,6]"
142,soft,random_error_oracle,1,0,"[1,6]"
143,soft,random_error_oracle,1,0,"[5,1]"
144,soft,random_error_oracle,1,0,[5]
145,soft,random_error_oracle,1,0,[]
146,soft,random_error_oracle,1,0,[]
148,soft,random_error_oracle,1,0,[2]
149,soft,random_error_oracle,1,0,[]
150,soft,random_error_oracle,1,0,[]
151,soft,random_error_oracle,1,0,[]
153,soft,random_error_oracle,1,0,[]
154,soft,random_error_oracle,1,0,[]
155,soft,random_error_oracle,1,0,[1]
156,soft,random_error_oracle,1,0,[2]
157,soft,random_error_oracle,1,0,[]
159,soft,random_error_oracle,1,0,[]
160,soft,random_error_oracle,1,0,[6]
161,soft,random_error_oracle,1,0,[1]
163,soft,random_error_oracle,1,0,[1]
165,soft,random_error_oracle,1,0,"[5,1]"
166,soft,random_error_oracle,1,0,[]
167,soft,random_error_oracle,1,0,[]
168,soft,random_error_oracle,1,0,[]
169,soft,random_error_oracle,1,0,[]
170,soft,random_error_oracle,1,0,[1]
172,soft,random_error_oracle,1,0,[2]
173,soft,random_error_oracle,1,0,[5]
174,soft,random_error_oracle,1,0,[]
175,soft,random_error_oracle,1,0,[0]
176,soft,random_error_oracle,1,0,[]
177,soft,random_error_oracle,1,0,"[5,1,6]"
178,soft,random_error_oracle,1,0,[]
179,soft,random_error_oracle,1,0,[]
181,soft,random_error_oracle,1,0,[]
182,soft,random_error_oracle,1,0,[]
183,soft,random_error_oracle,1,0,"[3,1,5]"
184,soft,random_error_oracle,1,0,[]
185,soft,random_error_oracle,1,0,[]
186,soft,random_error_oracle,1,0,[]
188,soft,random_error_oracle,1,0,[]
189,soft,random_error_oracle,1,0,[]
190,soft,random_error_oracle,1,0,"[6,5]"
192,soft,random_error_oracle,1,0,[5]
193,soft,random_error_oracle,1,0,[]
194,soft,random_error_oracle,1,0,"[6,1]"
195,soft,random_error_oracle,1,0,[1]
196,soft,random_error_oracle,1,0,[]
197,soft,random_error_oracle,1,0,[]
198,soft,random_error_oracle,1,0,[6]
200,soft,random_error_oracle,1,0,[]
201,soft,random_error_oracle,1,0,[1]
203,soft,random_error_oracle,1,0,"[0,6,2,1]"
204,soft,random_error_oracle,1,0,"[0,5]"
207,soft,random_error_oracle,1,0,[]
208,soft,random_error_oracle,1,0,[]
209,soft,random_error_oracle,1,0,[]
210,soft,random_error_oracle,1,0,[]
211,soft,random_error_oracle,1,0,"[2,1]"
212,soft,random_error_oracle,1,0,[]
213,soft,random_error_oracle,1,0,[]
214,soft,random_error_oracle,1,0,[5]
215,soft,random_error_oracle,1,0,[]
216,soft,random_error_oracle,1,0,[5]
217,soft,random_error_oracle,1,0,"[2,5]"
218,soft,random_error_oracle,1,0,[]
219,soft,random_error_oracle,1,0,[]
220,soft,random_error_oracle,1,0,[]
222,soft,random_error_oracle,1,0,"[6,5]"
223,soft,random_error_oracle,1,0,[2]
224,soft,random_error_oracle,1,0,[]
225,soft,random_error_oracle,1,0,[]
226,soft,random_error_oracle,1,0,[0]
227,soft,random_error_oracle,1,0,[2]
229,soft,random_error_oracle,1,0,[1]
231,soft,random_error_oracle,1,0,"[2,5,1]"
232,soft,random_error_oracle,1,0,[0]
233,soft,random_error_oracle,1,0,[]
236,soft,random_error_oracle,1,0,"[1,5]"
237,soft,random_error_oracle,1,0,[1]
239,soft,random_error_oracle,1,0,"[1,5]"
240,soft,random_error_oracle,1,0,[5]
241,soft,random_error_oracle,1,0,"[2,0,6,1]"
242,soft,random_error_oracle,1,0,[1]
243,soft,random_error_oracle,1,0,[5]
244,soft,random_error_oracle,1,0,[]
245,soft,random_error_oracle,1,0,[5]
246,soft,random_error_oracle,1,0,"[1,0]"
247,soft,random_error_oracle,1,0,[1]
248,soft,random_error_oracle,1,0,"[2,5]"
249,soft,random_error_oracle,1,0,"[2,5]"
250,soft,random_error_oracle,1,0,[2]
251,soft,random_error_oracle,1,0,"[5,6,1]"
252,soft,random_error_oracle,1,0,"[2,5]"
253,soft,random_error_oracle,1,0,[1]
254,soft,random_error_oracle,1,0,[]
255,soft,random_error_oracle,1,0,[]
257,soft,random_error_oracle,1,0,[0]
258,soft,random_error_oracle,1,0,"[1,2,6]"
