epoch,train_concept_loss,train_diagnosis_loss,train_total_loss,validation_concept_loss,validation_diagnosis_loss,validation_total_loss,validation_diagnosis_total,validation_diagnosis_positive,validation_diagnosis_negative,validation_diagnosis_auroc,validation_diagnosis_macro_f1,validation_diagnosis_accuracy,validation_diagnosis_sensitivity,validation_diagnosis_specificity,validation_diagnosis_brier,validation_diagnosis_ece,validation_diagnosis_tp,validation_diagnosis_tn,validation_diagnosis_fp,validation_diagnosis_fn,validation_diagnosis_threshold,validation_concept_atypical_pigment_network_auroc,validation_concept_atypical_pigment_network_macro_f1,validation_concept_regression_structures_present_auroc,validation_concept_regression_structures_present_macro_f1,validation_concept_irregular_pigmentation_auroc,validation_concept_irregular_pigmentation_macro_f1,validation_concept_blue_whitish_veil_present_auroc,validation_concept_blue_whitish_veil_present_macro_f1,validation_concept_atypical_vascular_structures_auroc,validation_concept_atypical_vascular_structures_macro_f1,validation_concept_irregular_dots_and_globules_auroc,validation_concept_irregular_dots_and_globules_macro_f1,validation_concept_irregular_streaks_auroc,validation_concept_irregular_streaks_macro_f1,validation_concept_macro_auroc,validation_concept_macro_f1,learning_rate,trainable_feature_blocks
1,1.0143783140761649,0.7151553196463025,1.7295336453055563,0.9768743718542704,0.7186568655618807,1.6955312141558019,164,49,115,0.723868677905945,0.28684376976597087,0.32926829268292684,0.9591836734693877,0.06086956521739131,0.2626988467159242,0.2603627712261386,47,7,108,2,0.5,0.5596904937361827,0.4769179117005204,0.5763075722092116,0.582281284606866,0.6939115929941619,0.597051597051597,0.7463709677419355,0.6690640037253583,0.8415584415584415,0.62654102866117,0.6392979324706233,0.4221917181423015,0.7050147492625369,0.645021645021645,0.6803073928532991,0.5741527412727798,0.001,0
2,0.920802585509142,0.6938298882743125,1.6146324699224248,0.9431411638492491,0.7004122588692642,1.6435534314411442,164,49,115,0.7848269742679679,0.2952411268502308,0.34146341463414637,1.0,0.06086956521739131,0.2536873186633068,0.26041533052921295,49,7,108,0,0.5,0.6066691230655858,0.5315419995158557,0.5850897736143638,0.598638008086827,0.7227689741451209,0.6358761677349085,0.791733870967742,0.6972307692307692,0.8383116883116883,0.6386780905752754,0.7096534285289305,0.6109525149772828,0.7509977442304355,0.6372234935163997,0.7150320861234095,0.621448720519617,0.001,0
3,0.8789720250527385,0.6898912191390991,1.568863263496986,0.9283576680392753,0.7058327532396084,1.6341904547156356,164,49,115,0.7396628216503993,0.26544082979726547,0.3048780487804878,0.8979591836734694,0.05217391304347826,0.2564053140013672,0.2828265472156245,44,6,109,5,0.5,0.6302505526897568,0.5513516019845134,0.5983606557377049,0.6004429678848284,0.7299416180150125,0.6302212710666106,0.8122983870967742,0.7235772357723578,0.8402597402597403,0.6298611111111111,0.7489216123754276,0.6101000163961305,0.7834461218115565,0.6941724941724942,0.7347826697122819,0.6342466711982924,0.001,0
4,0.9401424059018433,0.7990846078888125,1.7392270121014552,0.9078446452210589,0.7153406797385797,1.623185338043585,164,49,115,0.7887311446317657,0.2952411268502308,0.34146341463414637,1.0,0.06086956521739131,0.26106099406316646,0.28786334904228766,49,7,108,0,0.5,0.6376197494473103,0.5770081061164333,0.6250975800156128,0.6206338191071015,0.7442869057547956,0.5982664405502167,0.8433467741935484,0.6744845465224613,0.8623376623376623,0.5958707958707958,0.7447568049977689,0.6566556278786495,0.7791081034183585,0.6649379223636649,0.7480790828807223,0.6268367512013319,0.0001,3
5,0.8583377392185845,0.7310051790133179,1.5893429088206426,0.8729138228951431,0.6939431952267159,1.5668570181218588,164,49,115,0.8159716060337178,0.2952411268502308,0.34146341463414637,1.0,0.06086956521739131,0.2505607979316847,0.2685624566383478,49,7,108,0,0.5,0.6879145173176124,0.6048192771084338,0.6635441061670571,0.6186046511627907,0.769974979149291,0.6631921571666601,0.8665322580645161,0.7240129449838187,0.8883116883116883,0.5810983397190294,0.7704893648668749,0.6915755133371714,0.7874370987332986,0.692258553918633,0.7763148589443342,0.653651633913791,0.0001,3
6,0.7972058484911436,0.6928706195672997,1.4900764680584433,0.8379211687460179,0.6833260975232939,1.5212472764457143,164,49,115,0.8194321206743568,0.3292041603365665,0.3597560975609756,0.9591836734693877,0.10434782608695652,0.24535600096619903,0.2818350953663267,47,12,103,2,0.5,0.7153647752394988,0.6159250585480094,0.6965261514441843,0.6351218502612925,0.7806505421184321,0.6833103448275861,0.8877016129032258,0.7671694764862467,0.888961038961039,0.5624545234052875,0.7886360255838167,0.6830550401978974,0.8020128405344439,0.6977564102564102,0.7942647123978058,0.6635418148546757,0.0001,3
7,0.7438070465196,0.6864288516855432,1.4302358965159427,0.8097795422484235,0.6869934710060678,1.4967729899941422,164,49,115,0.7967169476486249,0.3041018387553041,0.34146341463414637,0.9591836734693877,0.0782608695652174,0.2471604086659323,0.27164363443124584,47,9,106,2,0.5,0.7310243183493,0.6221368872825841,0.7127244340359095,0.6574770258980785,0.7873227689741451,0.6778249253496778,0.8951612903225806,0.7757487539146928,0.8967532467532469,0.5763341944426942,0.8018741633199463,0.6901484480431849,0.7976748221412459,0.6955609362389024,0.8032192919851964,0.6707473101671164,0.0001,3
8,0.7022036574630119,0.6681716977826014,1.3703753629676727,0.8132366087378525,0.6776868075859256,1.4909234395841273,164,49,115,0.805678793256433,0.2955270935960591,0.3353658536585366,0.9591836734693877,0.06956521739130435,0.24279574282556335,0.2833783134091191,47,8,107,2,0.5,0.736551215917465,0.6059965404574285,0.7263856362217017,0.6154857894435867,0.8033361134278565,0.671474358974359,0.9024193548387097,0.7733971997052321,0.9019480519480519,0.6224460431654677,0.8171947047449055,0.6723469267834059,0.7948984903695991,0.7401167639699751,0.8118190810668986,0.6716090889284935,0.0001,3
9,0.657842437265373,0.6821669528358861,1.3400093939622886,0.7979919735978289,0.6738518621863389,1.4718438474143423,164,49,115,0.8199645075421473,0.3164270967239297,0.3475609756097561,0.9387755102040817,0.09565217391304348,0.2409867136875427,0.3148104361281162,46,11,104,3,0.5,0.7350773765659543,0.6059965404574285,0.735167837626854,0.6440972222222222,0.8163469557964971,0.6690879741727199,0.9147177419354839,0.7851366613959793,0.8935064935064936,0.6224460431654677,0.8198720809162577,0.6997390051030346,0.79316328301232,0.7367359538999794,0.8154073956228373,0.6804627714881188,0.0001,3
10,0.6253463618668468,0.6741429017140315,1.2994892635808784,0.8198168539419407,0.6690500044241184,1.488866893256583,164,49,115,0.8377107364685002,0.33273917929244,0.3597560975609756,0.9387755102040817,0.11304347826086956,0.23848623281689033,0.2895758966120278,46,13,102,3,0.5,0.7380250552689757,0.6081541355294596,0.7347775175644028,0.6104072398190046,0.8145120934111759,0.6962962962962963,0.9127016129032258,0.7609891401438579,0.8974025974025974,0.6339285714285714,0.8232931726907631,0.6851960669095467,0.7902134305049453,0.7154259934062119,0.8158464971065837,0.6729139205047069,0.0001,3
