model,bin,lower,upper,count,mean_probability,fraction_positive,weighted_absolute_gap
joint_soft,0,0.0,0.1,0,,,0.0
joint_soft,1,0.1,0.2,0,,,0.0
joint_soft,2,0.2,0.3,0,,,0.0
joint_soft,3,0.3,0.4,0,,,0.0
joint_soft,4,0.4,0.5,63,0.4916595674696423,0.06349206349206349,0.04099476101912988
joint_soft,5,0.5,0.6,522,0.5315441063309081,0.24329501915708812,0.22867176824427662
joint_soft,6,0.6,0.7,73,0.6237483285877803,0.9178082191780822,0.03262366567339216
joint_soft,7,0.7,0.8,0,,,0.0
joint_soft,8,0.8,0.9,0,,,0.0
joint_soft,9,0.9,1.0,0,,,0.0
joint_hard_ste,0,0.0,0.1,0,,,0.0
joint_hard_ste,1,0.1,0.2,0,,,0.0
joint_hard_ste,2,0.2,0.3,0,,,0.0
joint_hard_ste,3,0.3,0.4,0,,,0.0
joint_hard_ste,4,0.4,0.5,45,0.4696659021907382,0.13333333333333333,0.023001467475050486
joint_hard_ste,5,0.5,0.6,464,0.5207299243273407,0.16810344827586207,0.24866061533113382
joint_hard_ste,6,0.6,0.7,139,0.6492058630469891,0.7482014388489209,0.020912439265149713
joint_hard_ste,7,0.7,0.8,10,0.703644049167633,1.0,0.004503889830279133
joint_hard_ste,8,0.8,0.9,0,,,0.0
joint_hard_ste,9,0.9,1.0,0,,,0.0
