epoch,train_concept_loss,train_diagnosis_loss,train_total_loss,validation_concept_loss,validation_diagnosis_loss,validation_total_loss,validation_diagnosis_total,validation_diagnosis_positive,validation_diagnosis_negative,validation_diagnosis_auroc,validation_diagnosis_macro_f1,validation_diagnosis_accuracy,validation_diagnosis_sensitivity,validation_diagnosis_specificity,validation_diagnosis_brier,validation_diagnosis_ece,validation_diagnosis_tp,validation_diagnosis_tn,validation_diagnosis_fp,validation_diagnosis_fn,validation_diagnosis_threshold,validation_concept_atypical_pigment_network_auroc,validation_concept_atypical_pigment_network_macro_f1,validation_concept_regression_structures_present_auroc,validation_concept_regression_structures_present_macro_f1,validation_concept_irregular_pigmentation_auroc,validation_concept_irregular_pigmentation_macro_f1,validation_concept_blue_whitish_veil_present_auroc,validation_concept_blue_whitish_veil_present_macro_f1,validation_concept_atypical_vascular_structures_auroc,validation_concept_atypical_vascular_structures_macro_f1,validation_concept_irregular_dots_and_globules_auroc,validation_concept_irregular_dots_and_globules_macro_f1,validation_concept_irregular_streaks_auroc,validation_concept_irregular_streaks_macro_f1,validation_concept_macro_auroc,validation_concept_macro_f1,learning_rate,trainable_feature_blocks
1,0.9998221691803411,0.7812251086659759,1.7810472833965472,0.9174595344357375,0.7701596792151288,1.687619215104638,164,49,115,0.7618456078083408,0.2300469483568075,0.29878048780487804,1.0,0.0,0.28815507010662045,0.3253142910032738,49,0,115,0,0.5,0.6807295504789977,0.5866935483870968,0.7086466165413534,0.5918552036199095,0.7332741792369121,0.5936936936936936,0.7049751243781095,0.6131282051282051,0.8348187759952466,0.5096345514950166,0.5815793402000298,0.3727426773178407,0.6336693548387097,0.4870171471641229,0.696813277381337,0.5363950038294122,0.001,0
2,0.9153631170268967,0.7577795917205965,1.6731427010254338,0.8686441619221758,0.7512836296383928,1.6199277901067966,164,49,115,0.7959183673469389,0.2300469483568075,0.29878048780487804,1.0,0.0,0.27892674382213806,0.324001398028397,49,0,115,0,0.5,0.7072586588061901,0.6267237916722452,0.7324561403508772,0.6467692307692308,0.7724933451641526,0.6391639163916392,0.7435323383084578,0.6135255110429112,0.8324420677361853,0.569327731092437,0.6232273473652783,0.5396925139290352,0.667741935483871,0.5982895337734047,0.725593119030716,0.6047846040958432,0.001,0
3,0.861771191421308,0.7424467563146522,1.6042179322918417,0.851280433375661,0.7320175010983537,1.583297898129719,164,49,115,0.8117125110913931,0.2300469483568075,0.29878048780487804,1.0,0.0,0.2694173629324085,0.28575125700089987,49,0,115,0,0.5,0.7181282240235815,0.6122931442080378,0.7431077694235589,0.6804102564102563,0.7758651286601597,0.6499051233396584,0.7718905472636816,0.6104072398190046,0.833630421865716,0.5886287625418061,0.6445738169876101,0.5534330359013029,0.6860887096774193,0.5713883639580234,0.7390406597002467,0.6094951323111556,0.001,0
4,0.9100700534789669,0.7590425156871317,1.6691125636158683,0.8680990701768456,0.7347936019664858,1.602892683773506,164,49,115,0.8007098491570541,0.2300469483568075,0.29878048780487804,1.0,0.0,0.2707871256951438,0.2909297906770939,49,0,115,0,0.5,0.6892041267501842,0.5999219359875098,0.6977861319966584,0.6328358208955224,0.7407275953859805,0.6583333333333333,0.83681592039801,0.6530487518217292,0.7866904337492573,0.5566369288997026,0.6481564412598896,0.5713883639580234,0.6679435483870968,0.6107874865156419,0.7239034568467252,0.6118503744873518,0.0001,3
5,0.8310220434598112,0.7450314009720497,1.5760534195764828,0.8451063080531794,0.7283872932922549,1.5734936027992061,164,49,115,0.825022182786158,0.2300469483568075,0.29878048780487804,1.0,0.0,0.267634134398868,0.3029386535650347,49,0,115,0,0.5,0.7247605011053794,0.6018674136321195,0.7374686716791979,0.7034032991724667,0.7590062111801241,0.6955609362389024,0.8527363184079603,0.6847972323659427,0.7795603089720737,0.5425660926509823,0.6739811912225705,0.5850727387729285,0.7004032258064515,0.6198489010989011,0.7468452040533939,0.6333023734188918,0.0001,3
6,0.7785357371998219,0.7334159019022335,1.5119516468241148,0.8202815928110262,0.7211285698704604,1.5414101728578893,164,49,115,0.8383318544809227,0.2300469483568075,0.29878048780487804,1.0,0.0,0.26405694658551454,0.31908185561982605,49,0,115,0,0.5,0.7640014738393515,0.6583333333333333,0.7616959064327484,0.7030061571894242,0.7787045252883762,0.6962337929615148,0.8661691542288557,0.6799375487900079,0.7825311942959001,0.5647051207354179,0.7012987012987013,0.5902439024390244,0.727016129032258,0.6287849669015588,0.768773869202313,0.6458921174786116,0.0001,3
7,0.7285719238794767,0.7240941896129717,1.4526660924980999,0.7962537015356669,0.7121259192141091,1.5083796222035477,164,49,115,0.8484472049689441,0.2300469483568075,0.29878048780487804,1.0,0.0,0.25961138214728224,0.33848910179080033,49,0,115,0,0.5,0.7838983050847458,0.6738636363636363,0.7731829573934837,0.7140512820512821,0.7918367346938776,0.7128336536408286,0.8788557213930348,0.6693548387096775,0.7908496732026143,0.5752517985611512,0.7275712792954172,0.5845764142977765,0.7491935483870968,0.6547368421052632,0.7850554599214672,0.6549526379613736,0.0001,3
8,0.6760520585152784,0.7129841671298872,1.3890362046508171,0.7882202369410817,0.7005450914545757,1.4887653385720603,164,49,115,0.8521739130434782,0.2300469483568075,0.29878048780487804,1.0,0.0,0.2538716101609212,0.33064150228732964,49,0,115,0,0.5,0.7958732498157701,0.6949492058949778,0.7804928989139515,0.7338705164792121,0.808695652173913,0.7235137533274179,0.886318407960199,0.7092667203867848,0.7902554961378491,0.6177156177156177,0.7469771607702642,0.5796957671957672,0.7673387096774194,0.6993089182454986,0.7965645107784809,0.6797600713207537,0.0001,3
9,0.6396117664059164,0.7069848428370982,1.3465966015209554,0.7706608365221721,0.6974058238471427,1.4680666574617711,164,49,115,0.8587400177462289,0.24932150524567587,0.31097560975609756,1.0,0.017391304347826087,0.2523444815827449,0.3272370428937237,49,2,113,0,0.5,0.7997420781134856,0.6937441643323996,0.7992898913951546,0.73694831065349,0.8232475598935226,0.7011972930765227,0.890049751243781,0.7092667203867848,0.7991681521093286,0.6236933797909407,0.7580235856097924,0.6080528213229635,0.777016129032258,0.7034358047016275,0.8066481639139033,0.682334070609247,0.0001,3
10,0.6089118579138628,0.7015928338896408,1.3105046918035037,0.7655907026151332,0.6913659020168025,1.4569566424300031,164,49,115,0.8663708961845609,0.2680632061437015,0.3231707317073171,1.0,0.034782608695652174,0.24934332406269485,0.3310012348541399,49,4,111,0,0.5,0.8163227708179809,0.712969786293294,0.8047201336675022,0.7415484723704946,0.8296362023070097,0.7154259934062119,0.8950248756218906,0.7217194570135747,0.7967914438502673,0.6177156177156177,0.7681743543812509,0.6080528213229635,0.7887096774193548,0.7090569561157796,0.8141970654378937,0.6894984434625623,0.0001,3
