case_num,validation_fold
100,1
1011,1
102,0
103,1
104,3
105,1
106,1
107,3
109,2
110,1
111,0
112,3
115,2
116,0
117,2
118,2
119,3
122,1
123,2
124,3
125,0
126,0
128,2
129,3
130,0
131,1
133,2
135,0
136,0
137,1
138,0
139,0
141,2
142,3
143,2
144,3
145,2
146,3
148,2
149,0
150,2
151,3
153,3
154,1
155,0
156,2
157,3
159,0
160,2
161,3
163,0
165,1
166,0
167,3
168,3
169,0
170,1
172,2
173,3
174,1
175,0
176,3
177,0
178,1
179,2
181,3
182,0
183,3
184,2
185,0
186,1
188,3
189,3
190,0
192,0
193,3
194,0
195,1
196,1
197,3
198,0
200,1
201,3
203,3
204,3
207,2
208,2
209,0
210,2
211,0
212,0
213,3
214,1
215,3
216,0
217,1
218,2
219,0
220,0
222,0
223,1
224,2
225,0
226,0
227,3
229,1
231,3
232,2
233,0
236,2
237,1
239,1
240,2
241,2
242,0
243,3
244,0
245,0
246,1
247,1
248,3
249,2
250,0
251,3
252,0
253,3
254,0
255,0
257,2
258,0
259,0
263,2
264,2
265,0
267,2
268,3
269,0
270,0
271,3
272,0
273,3
274,3
275,1
276,0
277,1
278,1
279,3
280,2
281,3
282,1
283,1
284,2
285,3
286,1
288,2
290,3
292,3
293,1
294,0
295,3
296,1
297,1
298,1
299,1
302,3
303,0
304,2
306,1
308,3
309,3
310,0
311,3
313,1
315,2
317,1
318,2
319,2
320,1
321,2
322,1
323,3
324,1
325,3
326,3
327,0
328,1
329,2
331,3
332,3
333,3
334,0
335,0
337,3
338,1
339,0
340,2
342,2
344,1
345,1
346,1
347,1
348,0
349,3
350,0
353,0
354,0
355,2
356,1
357,3
358,2
359,1
361,3
362,1
363,2
364,1
365,0
366,2
368,1
371,2
372,1
374,0
375,0
377,3
378,0
380,2
381,1
382,3
383,0
384,1
385,3
386,2
387,3
389,0
390,2
391,0
392,0
393,0
394,1
396,1
397,1
398,1
399,1
401,0
402,2
403,2
404,2
405,2
406,3
407,3
409,3
410,1
411,1
412,3
414,2
416,1
417,1
418,0
419,3
420,1
421,1
422,3
423,3
424,2
425,3
428,2
429,3
430,3
431,2
432,0
433,1
434,2
435,2
437,2
439,3
44,3
440,2
444,2
445,1
446,1
447,1
448,2
449,2
45,1
450,1
451,2
452,1
453,3
454,3
455,1
456,2
457,3
458,0
459,2
46,2
460,1
461,2
463,0
464,3
465,0
466,2
467,0
469,2
47,1
470,1
471,0
472,0
475,0
476,1
477,1
478,3
479,2
480,1
482,0
484,0
486,2
487,3
488,3
489,1
49,0
490,3
491,1
492,2
493,2
495,3
496,0
497,2
498,3
50,0
500,1
502,3
503,1
504,1
506,0
507,2
508,1
510,0
511,0
512,0
513,2
514,2
515,1
516,3
517,0
519,3
52,2
520,2
521,2
522,1
523,3
524,1
526,0
527,1
528,1
529,3
53,0
530,2
531,3
532,0
54,2
55,0
56,1
57,0
577,1
578,3
579,2
58,3
580,1
581,2
583,0
585,0
586,3
587,1
588,0
589,3
59,3
590,3
591,2
592,0
593,3
594,2
595,3
596,2
597,1
598,2
599,2
60,1
601,3
604,1
605,2
606,1
607,2
608,2
609,3
61,2
610,1
611,1
612,1
613,2
615,0
616,2
618,3
619,0
62,3
620,3
621,0
622,3
623,1
624,2
625,2
626,0
629,0
63,3
630,2
631,3
633,1
634,1
635,2
636,1
637,0
638,3
639,0
640,0
641,3
642,2
643,0
645,2
646,3
647,1
648,3
652,1
653,0
654,0
655,1
656,2
657,0
659,3
66,2
660,2
661,0
662,2
663,1
664,3
665,2
666,0
667,2
668,3
669,0
67,2
670,0
671,2
672,3
673,0
675,2
676,3
677,1
678,1
679,3
680,1
681,3
682,1
683,0
685,2
687,3
688,3
689,1
690,1
691,3
693,1
694,0
695,1
696,0
699,1
70,1
700,2
701,2
702,1
704,3
705,3
706,0
707,0
709,1
710,2
711,3
713,2
714,2
718,3
72,1
722,1
723,2
724,0
725,0
727,3
728,2
729,1
73,2
730,3
731,0
732,1
733,2
734,3
735,0
736,3
737,0
739,1
74,3
740,3
741,0
744,2
746,1
747,2
748,1
75,2
750,2
751,2
752,2
754,2
757,1
758,0
759,1
760,1
762,0
763,2
764,0
765,1
766,3
767,2
768,3
769,0
77,3
770,0
771,1
772,1
773,1
775,0
776,3
777,3
778,2
779,2
78,3
780,3
782,1
783,3
784,2
785,0
786,1
787,0
789,0
79,2
791,0
792,3
794,0
795,1
797,2
799,2
80,3
800,0
801,3
802,3
804,0
805,0
806,2
807,0
808,1
809,0
810,1
811,3
812,3
813,1
815,0
816,1
817,0
818,3
819,1
82,2
820,3
821,2
822,3
83,1
853,1
854,0
855,1
856,1
857,2
858,2
859,0
860,0
861,0
862,3
863,3
864,0
865,0
868,1
869,0
87,2
870,3
871,0
872,2
873,3
874,0
875,3
876,2
877,2
879,0
88,2
880,0
882,3
884,2
885,1
886,2
887,3
888,1
889,2
89,3
890,2
891,2
892,0
893,3
895,0
896,1
898,1
899,3
900,1
901,1
902,0
903,0
904,2
905,2
907,2
908,0
909,2
91,1
910,2
912,1
914,3
915,2
916,3
917,2
918,2
919,2
92,1
920,1
921,1
922,3
923,0
924,3
925,0
928,2
93,1
930,1
931,3
932,0
933,1
935,0
936,0
95,2
96,3
98,3
99,0
